loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_pj_k30,0.9483,0.5540,0.6168,0.5285,0.9818
resnet18b4_pj_k30_fec1,0.9468,0.5961,0.6297,0.5858,0.9730
resnet18b4_pj_k30_fec2,0.9478,0.5957,0.6282,0.5921,0.9712
resnet18b4_pj_k30_fec3,0.9448,0.5912,0.6310,0.5918,0.9721
resnet18b4_pj_k30_fec4,0.9076,0.4844,0.5234,0.6080,0.9296
