loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_pj_k10,0.9357,0.7077,0.7110,0.6854,0.9462
resnet18b4_pj_k10_fec1,0.9282,0.7178,0.7174,0.7173,0.9374
resnet18b4_pj_k10_fec2,0.9337,0.7113,0.7130,0.7340,0.9279
resnet18b4_pj_k10_fec3,0.9343,0.7139,0.7119,0.7264,0.9303
resnet18b4_pj_k10_fec4,0.9363,0.7162,0.7138,0.7658,0.9158
