loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_pj_k20,0.9451,0.6584,0.6762,0.6304,0.9696
resnet18b4_pj_k20_fec1,0.9463,0.6567,0.6756,0.6585,0.9623
resnet18b4_pj_k20_fec2,0.9421,0.6671,0.6812,0.6915,0.9560
resnet18b4_pj_k20_fec3,0.9472,0.6738,0.6863,0.6997,0.9560
resnet18b4_pj_k20_fec4,0.9170,0.5463,0.5705,0.6025,0.9339
