loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_si_k20,0.9168,0.5767,0.6022,0.5438,0.9645
resnet18b4_si_k20_fec1,0.9165,0.5903,0.6118,0.5651,0.9619
resnet18b4_si_k20_fec2,0.9205,0.6051,0.6177,0.5820,0.9591
resnet18b4_si_k20_fec3,0.9272,0.6054,0.6168,0.6192,0.9475
resnet18b4_si_k20_fec4,0.9205,0.5955,0.6139,0.6364,0.9409
