loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_pj_k10,0.9297,0.7129,0.7175,0.7162,0.9379
resnet18b4_pj_k10_fec1,0.9229,0.7093,0.7035,0.7378,0.9202
resnet18b4_pj_k10_fec2,0.9305,0.7189,0.7144,0.7207,0.9341
resnet18b4_pj_k10_fec3,0.9230,0.6945,0.6876,0.7117,0.9205
resnet18b4_pj_k10_fec4,0.9359,0.7181,0.7108,0.7296,0.9283
