loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_pj_k20,0.9451,0.6602,0.6776,0.6440,0.9667
resnet18b4_pj_k20_fec1,0.9445,0.6601,0.6742,0.6587,0.9617
resnet18b4_pj_k20_fec2,0.9483,0.6728,0.6871,0.6907,0.9585
resnet18b4_pj_k20_fec3,0.9482,0.6804,0.6878,0.7166,0.9524
resnet18b4_pj_k20_fec4,0.9505,0.6808,0.6885,0.7414,0.9465
