loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_si_k10,0.9123,0.6502,0.6579,0.6235,0.9379
resnet18b4_si_k10_fec1,0.9044,0.6661,0.6676,0.6477,0.9332
resnet18b4_si_k10_fec2,0.9029,0.6603,0.6620,0.6384,0.9338
resnet18b4_si_k10_fec3,0.9049,0.6691,0.6724,0.6672,0.9276
resnet18b4_si_k10_fec4,0.9025,0.6659,0.6668,0.6422,0.9352
