loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_si_k30,0.9055,0.4978,0.5432,0.4698,0.9734
resnet18b4_si_k30_fec1,0.9203,0.4911,0.5468,0.5142,0.9625
resnet18b4_si_k30_fec2,0.9182,0.5294,0.5510,0.5982,0.9413
resnet18b4_si_k30_fec3,0.9139,0.5237,0.5469,0.6312,0.9307
resnet18b4_si_k30_fec4,0.9245,0.5521,0.5803,0.5737,0.9587
