loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_pj_k30,0.9398,0.5400,0.5996,0.5230,0.9782
resnet18b4_pj_k30_fec1,0.9462,0.5919,0.6371,0.5959,0.9730
resnet18b4_pj_k30_fec2,0.9450,0.5927,0.6328,0.5979,0.9713
resnet18b4_pj_k30_fec3,0.9472,0.6038,0.6345,0.6433,0.9622
resnet18b4_pj_k30_fec4,0.9456,0.6013,0.6361,0.6267,0.9662
