loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_si_k10,0.9120,0.6530,0.6556,0.6259,0.9353
resnet18b4_si_k10_fec1,0.9094,0.6606,0.6606,0.6533,0.9259
resnet18b4_si_k10_fec2,0.8927,0.6190,0.6168,0.6447,0.8982
resnet18b4_si_k10_fec3,0.9113,0.6577,0.6561,0.6647,0.9175
resnet18b4_si_k10_fec4,0.9118,0.6655,0.6642,0.7039,0.9051
