loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_si_k20,0.9186,0.5894,0.6167,0.5493,0.9686
resnet18b4_si_k20_fec1,0.9104,0.5574,0.5778,0.5638,0.9476
resnet18b4_si_k20_fec2,0.9197,0.5872,0.6035,0.5802,0.9537
resnet18b4_si_k20_fec3,0.8866,0.5134,0.5318,0.5735,0.9211
resnet18b4_si_k20_fec4,0.9207,0.5974,0.6129,0.6135,0.9475
