loss,auc,f1_macro,f1_micro,sensitivity,specificity
resnet18b4_si_k30,0.9066,0.5111,0.5443,0.4797,0.9710
resnet18b4_si_k30_fec1,0.9222,0.5379,0.5709,0.5282,0.9670
resnet18b4_si_k30_fec2,0.9087,0.4937,0.5229,0.5461,0.9444
resnet18b4_si_k30_fec3,0.9054,0.4975,0.5234,0.5577,0.9413
resnet18b4_si_k30_fec4,0.9245,0.5521,0.5803,0.5737,0.9587
